INSTNM,CITY,STABBR,PREDDEG,ADDR
William Woods University,Fulton,MO,3,"One University Avenue"
Academy of Cosmetology Inc,Bozeman,MT,1,"133 W Mendenhall"
Blackfeet Community College,Browning,MT,2,"504 S.E. East Boundary"
Butte Academy of Beauty Culture,Butte,MT,1,"303 W Park St"
Highlands College of Montana Tech,Butte,MT,1,"25 Basin Creek Rd"
Crevier's Academy of Cosmetology Arts,Kalispell,MT,1,"240 West Idaho"
Carroll College,Helena,MT,3,"1601 N Benton Ave"
Dawson Community College,Glendive,MT,2,"300 College Dr"
Chief Dull Knife College,Lame Deer,MT,2,"1 College Drive"
Montana State University Billings,Billings,MT,3,"1500 University Drive"
Flathead Valley Community College,Kalispell,MT,2,"777 Grandview Dr"
Aaniiih Nakoda College,Harlem,MT,2,"269 Blackfeet Avenue"
Fort Peck Community College,Poplar,MT,2,"605 Indian Street"
Great Falls College Montana State University,Great Falls,MT,2,"2100 16th Ave S"
University of Providence,Great Falls,MT,3,"1301 20th St S"
Helena College University of Montana,Helena,MT,2,"1115 N Roberts Street"
Little Big Horn College,Crow Agency,MT,2,"8645 South Weaver Drive"
Miles Community College,Miles City,MT,2,"2715 Dickinson Street"
Montana Technological University,Butte,MT,3,"1300 W Park St"
Montana State University,Bozeman,MT,3,"Montana State University"
The University of Montana,Missoula,MT,3,"Missoula, Montana"
Montana State University-Northern,Havre,MT,3,"300 W 11th St"
Rocky Mountain College,Billings,MT,3,"1511 Poly Drive"
Salish Kootenai College,Pablo,MT,2,"58138 US  Highway 93"
The University of Montana-Western,Dillon,MT,3,"710 S Atlantic"
Yellowstone Christian College,Billings,MT,2,"1515 S. Shiloh Road"
Bellevue University,Bellevue,NE,3,"1000 Galvin Rd S"
Clarkson College,Omaha,NE,3,"101 S 42nd St"
Bryan College of Health Sciences,Lincoln,NE,3,"1535 S 52nd St"
Central Community College,Grand Island,NE,1,"3134 West Hwy 34"
Chadron State College,Chadron,NE,3,"1000 Main St"
College of Hair Design-Downtown,Lincoln,NE,1,"304 S Eleventh St"
Concordia University-Nebraska,Seward,NE,3,"800 N Columbia Ave"
Creighton University,Omaha,NE,3,"2500 California Plaza"
Doane University,Crete,NE,3,"1014 Boswell Avenue"
Hastings College,Hastings,NE,3,"710 N Turner Ave"
CHI Health School of Radiologic Technology,Omaha,NE,2,"6901 North 72nd St"
Joseph's College Cosmetology,Lincoln,NE,1,"6810 P Street #200"
University of Nebraska at Kearney,Kearney,NE,3,"2504 9th Avenue"
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,3,"720 North 87th Street"
Metropolitan Community College Area,Omaha,NE,2,"30 & Fort Street"
Mid-Plains Community College,North Platte,NE,2,"601 West State Farm Road"
Midland University,Fremont,NE,3,"900 N. Clarkson St."
University of Nebraska at Omaha,Omaha,NE,3,"6001 Dodge St"
Nebraska Indian Community College,Macy,NE,2,"1111 Hwy 75"
University of Nebraska Medical Center,Omaha,NE,3,"42nd & Dewey Ave"
Nebraska Wesleyan University,Lincoln,NE,3,"5000 St Paul Ave"
University of Nebraska-Lincoln,Lincoln,NE,3,"1400 R Street"
Northeast Community College,Norfolk,NE,2,"801 E Benjamin"
Peru State College,Peru,NE,3,"600 Hoyt Street"
Summit Christian College,Gering,NE,3,"2025 21st Street"
College of Saint Mary,Omaha,NE,3,"7000 Mercy Rd."
Southeast Community College Area,Lincoln,NE,2,"301 South 68th Street Place"
Union College,Lincoln,NE,3,"3800 S 48th Street"
Nebraska College of Technical Agriculture,Curtis,NE,2,"404 East 7th"
Wayne State College,Wayne,NE,3,"1111 Main St"
Western Nebraska Community College,Scottsbluff,NE,2,"1601 East 27th Street"
York University,York,NE,3,"1125 E 8th St"
Academy of Hair Design-Las Vegas,Las Vegas,NV,1,"5191 W. Charleston Blvd. #150"
Career College of Northern Nevada,Sparks,NV,2,"1421 Pullman Dr."
College of Southern Nevada,Las Vegas,NV,2,"6375 W. Charleston Blvd."
Las Vegas College,Las Vegas,NV,1,"8410 Rafael Rivera Way"
University of Nevada-Las Vegas,Las Vegas,NV,3,"4505 S Maryland Pky"
University of Nevada-Reno,Reno,NV,3,"1664 North Virginia Street"
Great Basin College,Elko,NV,1,"1500 College Parkway"
Sierra Nevada University,Incline Village,NV,3,"999 Tahoe Blvd."
Truckee Meadows Community College,Reno,NV,2,"7000 Dandini Blvd"
Western Nevada College,Carson City,NV,2,"2201 West College Parkway"
Colby-Sawyer College,New London,NH,3,"541 Main Street"
Dartmouth College,Hanover,NH,3,"207 Parkhurst Hall"
Empire Beauty School-Laconia,Laconia,NH,1,"556 Main St"
Empire Beauty School-Somersworth,Somersworth,NH,1,"456 High Street"
Franklin Pierce University,Rindge,NH,3,"40 University Drive"
University of New Hampshire-Franklin Pierce School of Law,Concord,NH,4,"2 White St"
Keene Beauty Academy,Keene,NH,1,"800 Park Ave"
Magdalen College,Warner,NH,3,"511 Kearsarge Mountain Road"
Michael's School of Hair Design & Esthetics,Bedford,NH,1,"79-6 South River Road"
New England College,Henniker,NH,3,"98 Bridge St"
New England School of Hair Design,West Lebanon,NH,1,"12 Interchange Dr"
Southern New Hampshire University,Manchester,NH,3,"2500 North River Road"
New Hampshire Institute for Therapeutic Arts,Nashua,NH,1,"48 Bridge Street #6"
University of New Hampshire-Main Campus,Durham,NH,3,"105 Main St., Thompson Hall"
Keene State College,Keene,NH,3,"229 Main Street"
University of New Hampshire at Manchester,Manchester,NH,3,"88 Commercial Street"
Plymouth State University,Plymouth,NH,3,"17 High Street"
NHTI-Concord's Community College,Concord,NH,2,"31 College Drive"
White Mountains Community College,Berlin,NH,1,"2020 Riverside Drive"
River Valley Community College,Claremont,NH,2,"1 College Place"
Lakes Region Community College,Laconia,NH,2,"379 Belmont Road"
Manchester Community College,Manchester,NH,2,"1066 Front St"
Nashua Community College,Nashua,NH,2,"505 Amherst St"
Great Bay Community College,Portsmouth,NH,2,"320 Corporate Drive"
Paul Mitchell the School-Portsmouth,Portsmouth,NH,1,"140 Congress Street"
Rivier University,Nashua,NH,3,"420 South Main St"
Saint Anselm College,Manchester,NH,3,"100 Saint Anselm Drive"
St Joseph School of Nursing,Nashua,NH,2,"5 Woodward Ave"
Granite State College,Concord,NH,3,"25 Hall Street"
Thomas More College of Liberal Arts,Merrimack,NH,3,"6 Manchester St"
Eastwick College-Hackensack,Hackensack,NJ,1,"250 Moore Street"
Assumption College for Sisters,Denville,NJ,2,"200 A Morris Avenue"
Atlantic Cape Community College,Mays Landing,NJ,2,"5100 Black Horse Pike"
Fortis Institute-Wayne,Wayne,NJ,1,"201 Willowbrook Blvd."
Bergen Community College,Paramus,NJ,2,"400 Paramus Rd"
Berkeley College-Woodland Park,Woodland Park,NJ,3,"44 Rifle Camp Rd"
Beth Medrash Govoha,Lakewood,NJ,3,"617 6th St"
Bloomfield College,Bloomfield,NJ,3,"467 Franklin St"
Brookdale Community College,Lincroft,NJ,2,"765 Newman Springs Rd"
Rowan College at Burlington County,Mount Laurel,NJ,2,"900 College Circle"
Caldwell University,Caldwell,NJ,3,"120 Bloomfield Avenue"
Camden County College,Blackwood,NJ,2,"200 College Drive"
Centenary University,Hackettstown,NJ,3,"400 Jefferson St"
Adult and Continuing Education-BCTS,Hackensack,NJ,1,"190 Hackensack Avenue"
Lincoln Technical Institute-Iselin,Iselin,NJ,1,"675 US Route 1 South, 2nd Floor"
American Institute-Clifton,CLIFTON,NJ,1,"346 LEXINGTON AVE"
County College of Morris,Randolph,NJ,2,"214 Center Grove Rd"
Rowan College of South Jersey-Cumberland Campus,Vineland,NJ,2,"3322 College Drive"
Drew University,Madison,NJ,3,"36 Madison Ave"
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ,1,"901 Hadley Road"
Essex County College,Newark,NJ,2,"303 University Ave"
Empire Beauty School-Union,Union,NJ,1,"1126 Morris Ave"
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,3,"1000 River Rd"
Felician University,Lodi,NJ,3,"262 S Main St"
Fairleigh Dickinson University-Florham Campus,Madison,NJ,3,"285 Madison Ave"
Hohokus School of Trade and Technical Sciences,Paterson,NJ,1,"634 Market Street"
Georgian Court University,Lakewood,NJ,3,"900 Lakewood Ave"
Rowan University,Glassboro,NJ,3,"201 Mullica Hill Road"
Rowan College of South Jersey-Gloucester Campus,Sewell,NJ,2,"1400 Tanyard Road"
Empire Beauty School-Cherry Hill,Cherry Hill,NJ,1,"2100 State Highway #38 Plaza Cherry Hill"
Eastwick College-Ramsey,Ramsey,NJ,2,"10 South Franklin Turnpike"
Holy Name Medical Center-Sister Claire Tynan School of Nursing,Englewood Cliffs,NJ,1,"333 Hudson Terrace"
Hudson County Community College,Jersey City,NJ,2,"70 Sip Avenue"
New Jersey City University,Jersey City,NJ,3,"2039 Kennedy Blvd"
Joe Kubert School of Cartoon and Graphic Art,Dover,NJ,1,"37 Myrtle Ave"
Kean University,Union,NJ,3,"1000 Morris Avenue"
Lincoln Technical Institute-Union,Union,NJ,1,"2299 Vauxhall Rd"
Rizzieri Aveda School for Beauty and Wellness,Voorhees,NJ,1,"8200 Town Center Blvd"
Mercer County Community College,West Windsor,NJ,2,"1200 Old Trenton Rd"
Middlesex College,Edison,NJ,2,"2600 Woodbridge Avenue"
Monmouth University,West Long Branch,NJ,3,"400 Cedar Ave"
Montclair State University,Montclair,NJ,3,"1 Normal Avenue"
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,Plainfield,NJ,1,"1200 Randolph Rd"
Eastwick College-Nutley,Nutley,NJ,2,"103 Park Ave"
New Brunswick Theological Seminary,New Brunswick,NJ,4,"35 Seminary Place"
Robert Fiance Beauty Schools-West New York,West New York,NJ,1,"5518 Bergenline Ave"
New Jersey Institute of Technology,Newark,NJ,3,"University Heights"
Ocean County College,Toms River,NJ,2,"College Drive"
P B Cosmetology Education Center,Gloucester,NJ,1,"110 Monmouth St"
Parisian Beauty School,Hackensack,NJ,1,"362 State St"
Passaic County Community College,Paterson,NJ,2,"One College Blvd"
Pennco Tech-Blackwood,Blackwood,NJ,1,"99 Erial Road"
Princeton Theological Seminary,Princeton,NJ,4,"64 Mercer St"
Princeton University,Princeton,NJ,3,"1 Nassau Hall"
Rabbinical College of America,Morristown,NJ,3,"226 Sussex Ave"
Ramapo College of New Jersey,Mahwah,NJ,3,"505 Ramapo Valley Rd"
Robert Fiance Beauty Schools,Boynton Beach,FL,1,"552 E Woolbright Rd"
Rider University,Lawrenceville,NJ,3,"2083 Lawrenceville Road"
Rutgers University-Camden,Camden,NJ,3,"406 Penn Street"
Rutgers University-New Brunswick,New Brunswick,NJ,3,"83 Somerset St"
Rutgers University-Newark,Newark,NJ,3,"249 University Avenue, Blumenthal Hall"
Capital Health School of Radiologic Technology,Trenton,NJ,1,"601 Hamilton Ave"
Capital Health School of Nursing,Trenton,NJ,1,"601 Hamilton Ave"
Saint Peter's University,Jersey City,NJ,3,"2641 Kennedy Blvd"
Salem Community College,Carneys Point,NJ,2,"460 Hollywood Avenue"
Seton Hall University,South Orange,NJ,3,"400 S Orange Ave"
Shore Beauty School,Egg Harbor Township,NJ,1,"3003 English Creek Avenue"
Saint Elizabeth University,Morristown,NJ,3,"2 Convent Road"
Raritan Valley Community College,Branchburg,NJ,2,"118 Lamington Road"
Stevens Institute of Technology,Hoboken,NJ,3,"Castle Point On Hudson"
Stockton University,Galloway,NJ,3,"101 Vera King Farris Drive"
Talmudical Academy-New Jersey,Adelphia,NJ,3,"868 Route 524"
Aviation Institute of Maintenance-Teterboro,Teterboro,NJ,1,"80 Moonachie Ave."
Thomas Edison State University,Trenton,NJ,3,"111 W State St"
The College of New Jersey,Ewing,NJ,3,"2000 Pennington Road"
Union County College,Cranford,NJ,2,"1033 Springfield Avenue"
William Paterson University of New Jersey,Wayne,NJ,3,"300 Pompton Rd"
Olympian Academy of Cosmetology,Alamogordo,NM,1,"1011 E 10th St Ste B"
Central New Mexico Community College,Albuquerque,NM,1,"525 Buena Vista Dr SE"
Navajo Technical University,Crownpoint,NM,1,"Lower Point Road, State Road 371"
New Mexico State University-Dona Ana,Las Cruces,NM,2,"2800 N. Sonoma Ranch Blvd."
Clovis Community College,Clovis,NM,1,"417 Schepps Blvd"
Eastern New Mexico University-Main Campus,Portales,NM,3,"ENMU Station 2, 1500 S Ave K"
Eastern New Mexico University-Roswell Campus,Roswell,NM,2,"52 University Blvd"
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,3,"83 Avan Nu Po Road"
New Mexico Highlands University,Las Vegas,NM,3,"803 University Ave"
New Mexico Junior College,Hobbs,NM,2,"5317 Lovington Hwy"
New Mexico Military Institute,Roswell,NM,2,"101 W.  College Blvd."
University of New Mexico-Gallup Campus,Gallup,NM,2,"705 Gurley Ave."
New Mexico Institute of Mining and Technology,Socorro,NM,3,"801 Leroy Place"
University of New Mexico-Los Alamos Campus,Los Alamos,NM,2,"4000 University Dr"
University of New Mexico-Main Campus,Albuquerque,NM,3,"1700 Lomas Blvd NE"
New Mexico State University-Alamogordo,Alamogordo,NM,2,"2400 North Scenic Drive"
Southeast New Mexico College,Carlsbad,NM,2,"1500 University Drive"
New Mexico State University-Grants,Grants,NM,1,"1500 Third Street"
New Mexico State University-Main Campus,Las Cruces,NM,3,"2850 Weddell Street"
University of New Mexico-Valencia County Campus,Los Lunas,NM,2,"280 La Entrada"
Northern New Mexico College,Espanola,NM,2,"921 Paseo de Onate"
San Juan College,Farmington,NM,2,"4601 College Blvd"
Santa Fe Community College,Santa Fe,NM,1,"6401 Richards Ave"
University of the Southwest,Hobbs,NM,3,"6610 North Lovington Hwy"
Southwestern College,Santa Fe,NM,4,"3960  San Felipe Road"
Southwestern Indian Polytechnic Institute,Albuquerque,NM,2,"9169 Coors Blvd NW"
University of New Mexico-Taos Campus,Ranchos de Taos,NM,2,"1157 County Road 110"
Mesalands Community College,Tucumcari,NM,1,"911 S Tenth Street"
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,1,"2434 Cerillos Road"
Western New Mexico University,Silver City,NM,3,"1000 W. College Ave"
Vaughn College of Aeronautics and Technology,Flushing,NY,2,"86-01 23rd Avenue"
Adelphi University,Garden City,NY,3,"South Ave"
SUNY Adirondack,Queensbury,NY,2,"640 Bay Rd"
Bryant & Stratton College-Albany,Albany,NY,2,"1259 Central Ave"
Albany College of Pharmacy and Health Sciences,Albany,NY,3,"106 New Scotland Avenue"
Albany Law School,Albany,NY,4,"80 New Scotland Avenue"
Albany Medical College,Albany,NY,4,"47 New Scotland Ave"
Alfred University,Alfred,NY,3,"One Saxon Drive"
Allen School-Brooklyn,Brooklyn,NY,1,"188 Montague Street"
The Ailey School,New York,NY,1,"405 W 55th Street"
American Academy of Dramatic Arts-New York,New York,NY,2,"120 Madison Ave"
American Academy McAllister Institute of Funeral Service,New York,NY,2,"1501 Broadway, 11th Floor, Suite 1102"
Joffrey Ballet School,New York,NY,1,"434 Ave of the Americas"
American Musical and Dramatic Academy,New York,NY,1,"211 West 61st Street"
Apex Technical School,Long Island City,NY,1,"24-02 Queens Plaza South"
Arnot Ogden Medical Center,Elmira,NY,1,"600 Roe Avenue"
Associated Beth Rivkah Schools,Brooklyn,NY,1,"310 Crown Street"
Bank Street College of Education,New York,NY,4,"610 W 112 St"
Bard College,Annandale-On-Hudson,NY,3,"Annandale Road"
Barnard College,New York,NY,3,"3009 Broadway"
Berk Trade and Business School,Long Island City,NY,1,"33-09 Queens Boulevard"
Berkeley College-New York,New York,NY,3,"3 East 43 Street"
Berkowits School of Electrolysis,Forest Hills,NY,1,"107-25 Metropolitan Avenue"
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,2,"4102 16th Ave"
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,3,"148 East 126th Street"
Brittany Beauty Academy,Brooklyn,NY,1,"375 86th Street"
Boricua College,New York,NY,3,"3755 Broadway"
Brittany Beauty Academy,Levittown,NY,1,"3274 Hempstead Turnpike"
American Beauty School,Bronx,NY,1,"1380 Metropolitan Avenue"
Brooklyn Law School,Brooklyn,NY,4,"250 Joralemon St"
SUNY Broome Community College,Binghamton,NY,2,"907 Upper Front Street"
Bryant & Stratton College-Syracuse North,Liverpool,NY,2,"7805 Oswego Rd"
Bryant & Stratton College-Buffalo,Buffalo,NY,2,"110 Broadway, 2nd Floor"
Bryant & Stratton College-Greece,Rochester,NY,2,"854 Long Pond Road"
Canisius College,Buffalo,NY,3,"2001 Main Street"
Capri Cosmetology Learning Centers,Nanuet,NY,1,"251 West Route 59"
St Paul's School of Nursing-Queens,Rego Park,NY,2,"97-77 Queens Blvd"
Cayuga County Community College,Auburn,NY,2,"197 Franklin Street"
Cazenovia College,Cazenovia,NY,3,"22 Sullivan St"
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,3,"885 Eastern Parkway"
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,1,"1501 Broadway Suite 700"
Circle in the Square Theatre School,New York,NY,1,"1633 Broadway"
Clarkson University,Potsdam,NY,3,"8 Clarkson Ave"
Clinton Community College,Plattsburgh,NY,2,"136 Clinton Point Dr."
Cochran School of Nursing,Yonkers,NY,2,"967 North Broadway-Andrus Pavillion-Saint John's Riverside,  HOSP"
Colgate Rochester Crozer Divinity School,Rochester,NY,4,"320 North Goodman St, Suite 207"
Colgate University,Hamilton,NY,3,"13 Oak Drive"
Metropolitan College of New York,New York,NY,3,"60 West Street"
Columbia University in the City of New York,New York,NY,3,"West 116 St and Broadway"
Columbia-Greene Community College,Hudson,NY,2,"4400 Route 23"
Empire Beauty School-Queens,Astoria,NY,1,"38-15 Broadway"
Continental School of Beauty Culture-Rochester,Rochester,NY,1,"633 Jefferson Rd"
The Cooper Union for the Advancement of Science and Art,New York,NY,3,"7 East 7th Street"
Cornell University,Ithaca,NY,3,"300 Day Hall"
Weill Medical College of Cornell University,New York,NY,4,"1300 York Avenue"
SUNY Corning Community College,Corning,NY,2,"1 Academic Dr"
Pomeroy College of Nursing at Crouse Hospital,Syracuse,NY,2,"765 Irving Ave"
Culinary Institute of America,Hyde Park,NY,2,"1946 Campus Drive"
CUNY Bernard M Baruch College,New York,NY,3,"One Bernard Baruch Way (55 Lexington Ave at 24th St)"
CUNY Borough of Manhattan Community College,New York,NY,2,"199 Chambers St"
CUNY Bronx Community College,Bronx,NY,2,"2155 University Avenue"
CUNY Brooklyn College,Brooklyn,NY,3,"2900 Bedford Ave"
College of Staten Island CUNY,Staten Island,NY,3,"2800 Victory Blvd"
CUNY City College,New York,NY,3,"160 Convent Ave"
CUNY Graduate School and University Center,New York,NY,3,"365 Fifth Ave"
CUNY Hostos Community College,Bronx,NY,2,"500 Grand Concourse"
CUNY Hunter College,New York,NY,3,"695 Park Ave"
CUNY John Jay College of Criminal Justice,New York,NY,3,"524 W 59th St"
CUNY Kingsborough Community College,Brooklyn,NY,2,"2001 Oriental Blvd"
CUNY LaGuardia Community College,Long Island City,NY,2,"31-10 Thomson Ave"
CUNY Lehman College,Bronx,NY,3,"250 Bedford Park Blvd West"
CUNY Medgar Evers College,Brooklyn,NY,3,"1650 Bedford Ave"
CUNY New York City College of Technology,Brooklyn,NY,3,"300 Jay St"
CUNY Queens College,Queens,NY,3,"65-30 Kissena Blvd"
CUNY Queensborough Community College,Bayside,NY,2,"222-05 56th Ave"
CUNY School of Law,Long Island City,NY,4,"2 Court Square"
CUNY York College,Jamaica,NY,3,"94-20 Guy R. Brewer Blvd"
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,1,"75 Beekman St"
D'Youville  University,Buffalo,NY,3,"320 Porter Ave"
Daemen University,Amherst,NY,3,"4380 Main St"
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,3,"802 Hicksville Rd"
Dominican University New York,Orangeburg,NY,3,"470 Western Highway"
Dutchess Community College,Poughkeepsie,NY,2,"53 Pendell Rd"
Belanger School of Nursing,Schenectady,NY,2,"650 McClellan St"
Elmira College,Elmira,NY,3,"One Park Place"
Erie Community College,Buffalo,NY,2,"121 Ellicott St"
Fashion Institute of Technology,New York,NY,2,"227 W 27th St"
Finger Lakes Community College,Canandaigua,NY,2,"3325 Marvin Sands Drive"
Five Towns College,Dix Hills,NY,3,"305 North Service Road"
Fordham University,Bronx,NY,3,"441 E Fordham Rd"
Fulton-Montgomery Community College,Johnstown,NY,2,"2805 State Hwy 67"
Gemological Institute of America-New York,New York,NY,1,"50 West 47th Street, 8th Floor"
The General Theological Seminary,New York,NY,4,"440 West 21st Street"
Genesee Community College,Batavia,NY,2,"One College Rd"
Hamilton College,Clinton,NY,3,"198 College Hill Rd"
Hartwick College,Oneonta,NY,3,"One Hartwick Drive"
Helene Fuld College of Nursing,New York,NY,2,"24 East 120th Street"
Herkimer County Community College,Herkimer,NY,2,"100 Reservoir Rd"
Hilbert College,Hamburg,NY,3,"5200 S Park Ave"
Hobart William Smith Colleges,Geneva,NY,3,"337 Pulteney Street"
Hofstra University,Hempstead,NY,3,"100 Hofstra University"
Houghton University,Houghton,NY,3,"1 Willard Ave"
Hudson Valley Community College,Troy,NY,2,"80 Vandenburgh Ave"
Hunter Business School,Levittown,NY,1,"3601 Hempstead Tpk Unit19"
Iona University,New Rochelle,NY,3,"715 North Ave"
Isabella Graham Hart School of Practical Nursing,Rochester,NY,1,"470 Skyview Centre Pkwy"
Island Drafting and Technical Institute,Amityville,NY,2,"128 Broadway Rte 110"
Ithaca College,Ithaca,NY,3,"953 Danby Road"
Jamestown Community College,Jamestown,NY,2,"525 Falconer St"
Jamestown Business College,Jamestown,NY,2,"7 Fairmount Ave"
Jefferson Community College,Watertown,NY,2,"1220 Coffeen St"
Jewish Theological Seminary of America,New York,NY,3,"3080 Broadway"
The Juilliard School,New York,NY,3,"60 Lincoln Center Plaza"
Kehilath Yakov Rabbinical Seminary,Ossining,NY,3,"340  Illington Road"
Keuka College,Keuka Park,NY,3,"141 Central Avenue"
LIM College,New York,NY,3,"12 E 53rd St"
Le Moyne College,Syracuse,NY,3,"1419 Salt Springs Rd"
Long Island University,Brookville,NY,3,"720 Northern Blvd"
Long Island Beauty School-Hempstead,Hempstead,NY,1,"173-A  Fulton Ave"
Long Island Business Institute,Flushing,NY,2,"136-18 39th Avenue, Fifth Floor"
Machzikei Hadath Rabbinical College,Brooklyn,NY,3,"5407 16th Ave"
Mandl School-The College of Allied Health,New York,NY,2,"254 W 54th St"
Manhattan College,Riverdale,NY,3,"4513 Manhattan College Parkway"
Manhattan School of Music,New York,NY,3,"130 Claremont Avenue"
Manhattanville College,Purchase,NY,3,"2900 Purchase St"
Maria College of Albany,Albany,NY,2,"700 New Scotland Ave"
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,1,"196 North St"
Marist College,Poughkeepsie,NY,3,"3399 North Rd"
Marymount Manhattan College,New York,NY,3,"221 E 71st St"
Medaille University,Buffalo,NY,3,"18 Agassiz Circle"
St. Peter's Hospital College of Nursing,Albany,NY,2,"714 New Scotland Ave"
Memorial Hospital School of Radiation Therapy Technology,New York,NY,1,"1275 York Ave"
Mercy College,Dobbs Ferry,NY,3,"555 Broadway"
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,3,"425 E 9th St"
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,2,"510 Dahill Rd"
Mesivtha Tifereth Jerusalem of America,New York,NY,3,"145 E Broadway"
Midway Paris Beauty School,Ridgewood,NY,1,"54-40 Myrtle Ave"
Mildred Elley School-Albany Campus,Albany,NY,1,"855 Central Ave"
Mirrer Yeshiva Cent Institute,Brooklyn,NY,2,"1791-5 Ocean Parkway"
Modern Welding School,Schenectady,NY,1,"1842 State St"
Mohawk Valley Community College,Utica,NY,2,"1101 Sherman Dr"
Molloy College,Rockville Centre,NY,3,"1000 Hempstead Ave"
Monroe College,Bronx,NY,3,"2501 Jerome Avenue"
Monroe Community College,Rochester,NY,2,"1000 E Henrietta Rd"
Mount Saint Mary College,Newburgh,NY,3,"330 Powell Avenue"
Montefiore School of Nursing,Mount Vernon,NY,2,"53 Valentine Street"
College of Mount Saint Vincent,Bronx,NY,3,"6301 Riverdale Ave"
Icahn School of Medicine at Mount Sinai,New York,NY,4,"One Gustave L Levy Place, Box 1217"
Nassau Community College,Garden City,NY,2,"One Education Dr"
Nazareth College,Rochester,NY,3,"4245 East Ave"
Neighborhood Playhouse School of the Theater,New York City,NY,1,"340 E 54th Street"
The New School,New York,NY,3,"66 West 12th Street"
The New School Center for Media,New York,NY,1,"252 W 29thStreet"
Northeast College of Health Sciences,Seneca Falls,NY,4,"2360 State Route 89"
New York Law School,New York,NY,4,"185 West Broadway"
New York Medical College,Valhalla,NY,4,"Administration Building"
New York School for Medical and Dental Assistants,Long Island City,NY,1,"33-10 Queens Blvd"
New York Theological Seminary,New York,NY,4,"475 Riverside Dr  Ste 650"
New York University,New York,NY,3,"70 Washington Sq South"
Niagara County Community College,Sanborn,NY,2,"3111 Saunders Settlement Rd"
Niagara University,Niagara University,NY,3,"Lewiston Road"
Empire Beauty School-Peekskill,Peekskill,NY,1,"19 Bank St"
North Country Community College,Saranac Lake,NY,2,"23 Santanoni Avenue"
New York College of Podiatric Medicine,New York,NY,4,"53 East 124 Street"
New York Institute of Technology,Old Westbury,NY,3,"Northern Blvd"
New York School of Interior Design,New York,NY,1,"170 East 70th Street"
Alliance University,New York,NY,3,"2 Washington Street"
Ohr Hameir Theological Seminary,Peekskill,NY,3,"141 Furnace Woods Rd"
Onondaga Community College,Syracuse,NY,2,"4585 West Seneca Turnpike"
Orange County Community College,Middletown,NY,2,"115 South St"
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY,1,"31 Center Street 3rd floor"
Pace University,New York,NY,3,"1 Pace Plaza"
Paul Smiths College of Arts and Science,Paul Smiths,NY,3,"7777 State Route 30"
Continental School of Beauty Culture-West Seneca,West Seneca,NY,1,"1050 Union Rd"
Plaza College,Forest Hills,NY,2,"118-33 Queens Boulevard"
Davis College,Pottersville,NY,3,"4230 Glendale Road"
Pratt Institute-Main,Brooklyn,NY,3,"200 Willoughby Ave"
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,3,"1593 Coney Island Ave"
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,3,"1577 48th St"
Rabbinical College Beth Shraga,Monsey,NY,2,"28 Saddle River Rd"
Rabbinical Seminary Mkor Chaim,Lakewood,NJ,3,"160 Locust Street"
Rabbinical College of Long Island,Long Beach,NY,3,"205 W Beach St"
Rabbinical Seminary of America,Flushing,NY,3,"76-01 147th St"
Rensselaer Polytechnic Institute,Troy,NY,3,"110 8th St"
Roberts Wesleyan University,Rochester,NY,3,"2301 Westside Dr"
Rochester Institute of Technology,Rochester,NY,3,"1 Lomb Memorial Dr"
University of Rochester,Rochester,NY,3,"Wilson Blvd. - Wallis Hall"
The Rockefeller University,New York,NY,4,"1230 York Avenue"
Rockland Community College,Suffern,NY,2,"145 College Rd"
Empire Beauty School-Manhattan,New York,NY,1,"22 W 34th St"
Russell Sage College,Troy,NY,3,"65 1st Street"
St Bernard's School of Theology and Ministry,Rochester,NY,4,"120 French Road"
St Bonaventure University,Saint Bonaventure,NY,3,"3261 W. State Road"
St. Francis College,Brooklyn,NY,3,"179 Livingston Street"
St. Joseph's College of Nursing,Syracuse,NY,2,"206 Prospect Ave"
St Lawrence University,Canton,NY,3,"23 Romoda Drive"
The College of Saint Rose,Albany,NY,3,"432 Western Ave"
St. Thomas Aquinas College,Sparkill,NY,3,"125 Rte 340"
Samaritan Hospital School of Nursing,Troy,NY,2,"1300 Massachusetts Avenue"
Sarah Lawrence College,Bronxville,NY,3,"One Meadway"
