INSTNM,CITY,STABBR,PREDDEG,ADDR
Ottawa University-Phoenix,Phoenix,AZ,3,"9414 North 25th Avenue"
Phoenix College,Phoenix,AZ,1,"1202 W Thomas Rd"
Pima Community College,Tucson,AZ,1,"4905C East  Broadway Blvd."
Pima Medical Institute-Tucson,Tucson,AZ,1,"2121 N Craycroft Road, Bldg 1"
Pima Medical Institute-Albuquerque,Albuquerque,NM,1,"4400 Cutler Avenue NE"
Prescott College,Prescott,AZ,3,"220 Grove Ave"
Refrigeration School Inc,Phoenix,AZ,1,"4210 E Washington Street"
Rio Salado College,Tempe,AZ,1,"2323 W 14th St"
Roberto-Venn School of Luthiery,Phoenix,AZ,1,"1012 NW Grand Ave"
Scottsdale Community College,Scottsdale,AZ,2,"9000 E Chaparral Rd"
South Mountain Community College,Phoenix,AZ,1,"7050 S 24th St"
Arizona Christian University,Glendale,AZ,3,"1 W. Firestorm Way"
Universal Technical Institute of Arizona Inc,Avondale,AZ,2,"10695 West Pierce Street"
Yavapai College,Prescott,AZ,1,"1100 E Sheldon St"
University of Arkansas at Little Rock,Little Rock,AR,3,"2801 S University Ave"
University of Arkansas for Medical Sciences,Little Rock,AR,3,"4301 W Markham"
Arkansas Baptist College,Little Rock,AR,3,"1600 Dr. Martin Luther King Jr. Drive"
Arkansas Beauty School-Little Rock,Little Rock,AR,1,"8521 Geyer Springs Road Unit 30"
Arkansas Beauty College,Russellville,AR,1,"109 N Commerce St"
Lyon College,Batesville,AR,3,"2300 Highland Road"
Arkansas Technical School,North Little Rock,AR,1,"200 E Washington Ave"
Arthur's Beauty College,Fort Smith,AR,1,"2000 North B Street"
University of Arkansas,Fayetteville,AR,3,"1125 W Maple St, Administration Bldg 425"
University of Arkansas at Pine Bluff,Pine Bluff,AR,3,"1200 N University Mail Slot 4789"
Arkansas State University-Beebe,Beebe,AR,2,"1000 Iowa Street"
Arkansas State University,Jonesboro,AR,3,"2105 East, Aggie Road"
Arkansas Tech University,Russellville,AR,3,"Administration Bldg 200, 1509 N Boulder Ave"
University of Arkansas at Monticello,Monticello,AR,1,"Highway 425 South"
Arthur's Beauty College,Jacksonville,AR,1,"2600 John Harden Drive"
Baptist Health College Little Rock,Little Rock,AR,2,"11900 COLONEL GLENN RD STE 1000"
Black River Technical College,Pocahontas,AR,1,"1410 Hwy 304 East"
University of Central Arkansas,Conway,AR,3,"201 Donaghey Ave"
Central Baptist College,Conway,AR,3,"1501 College Avenue"
Cossatot Community College of the University of Arkansas,De Queen,AR,1,"183 College Drive"
Crowley's Ridge College,Paragould,AR,3,"100 College Dr"
East Arkansas Community College,Forrest City,AR,1,"1700 Newcastle Rd"
Eastern College of Health Vocations-Little Rock,Little Rock,AR,1,"200 South University Avenue"
Paul Mitchell the School-Little Rock,North Little Rock,AR,1,"4201 E McCain Blvd"
National Park College,Hot Springs,AR,1,"101 College Dr"
University of Arkansas Community College-Batesville,Batesville,AR,1,"2005 White Drive"
Harding University,Searcy,AR,3,"915 E. Market Ave."
Henderson State University,Arkadelphia,AR,3,"1100 Henderson Street"
Hendrix College,Conway,AR,3,"1600 Washington Ave"
Hot Springs Beauty College,Hot Springs,AR,1,"100 Cones Rd"
Jefferson Regional School of Nursing,Pine Bluff,AR,2,"1600 West 40th Avenue"
John Brown University,Siloam Springs,AR,3,"2000 W University St"
Career Academy of Hair Design,Springdale,AR,1,"346 E. Robinson Ave"
Academy of Salon and Spa,Fort Smith,AR,1,"311 S 16th St"
Arkansas State University Mid-South,West Memphis,AR,1,"2000 W.  Broadway"
Arkansas Northeastern College,Blytheville,AR,1,"2501 S Division"
New Tyler Barber College Inc,North Little Rock,AR,1,"1221 E 7th St"
North Arkansas College,Harrison,AR,1,"1515 Pioneer Drive"
Northwest Technical Institute,Springdale,AR,1,"709 S Old Missouri Rd"
Ouachita Baptist University,Arkadelphia,AR,3,"410 Ouachita St"
Arkansas State University Three Rivers,Malvern,AR,1,"One College Circle"
Ozarka College,Melbourne,AR,1,"218 College Dr"
University of the Ozarks,Clarksville,AR,3,"415 N College Ave"
University of Arkansas Community College-Morrilton,Morrilton,AR,1,"1537 University Blvd."
Philander Smith College,Little Rock,AR,3,"900 W. Daisy Bates Drive"
Phillips Community College of the University of Arkansas,Helena,AR,1,"1000 Campus Drive"
Southeast Arkansas College,Pine Bluff,AR,1,"1900 S Hazel Street"
Professional Cosmetology Education Center,El Dorado,AR,1,"460 North Washington"
University of Arkansas-Pulaski Technical College,North Little Rock,AR,1,"3000 W Scenic Dr"
University of Arkansas Hope-Texarkana,Hope,AR,1,"2500 S Main"
University of Arkansas Community College Rich Mountain,Mena,AR,1,"1100 College Dr"
Paul Mitchell the School-Arkansas,Fayetteville,AR,1,"4156 N Steele Blvd"
Searcy Beauty College,Searcy,AR,1,"1004 S Main St"
Shorter College,N Little Rock,AR,2,"604 Locust St"
Williams Baptist University,Walnut Ridge,AR,3,"60 W Fulbright Avenue"
South Arkansas Community College,El Dorado,AR,1,"300 S West Ave"
Southern Arkansas University Main Campus,Magnolia,AR,3,"100 E. University"
Southern Arkansas University Tech,Camden,AR,1,"6415 Spellman Road"
Velvatex College of Beauty Culture,Little Rock,AR,1,"1520 Martin Luther King Dr"
University of Arkansas-Fort Smith,Fort Smith,AR,3,"5210 Grand Ave"
Academy of Art University,San Francisco,CA,3,"79 New Montgomery"
Academy of Chinese Culture and Health Sciences,Oakland,CA,4,"1600 Broadway, Ste. 200"
College of Alameda,Alameda,CA,2,"555 Ralph Appezzato Memorial Pky"
Allan Hancock College,Santa Maria,CA,2,"800 South College Drive"
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,2,"1336 North La Brea Avenue"
Berkeley School of Theology,Berkeley,CA,4,"2606 Dwight Way"
American Film Institute Conservatory,Los Angeles,CA,4,"2021 N Western Ave"
American Beauty College,West Covina,CA,1,"652 S. Sunset Ave"
American Career College-Los Angeles,Los Angeles,CA,1,"4021 Rosewood Avenue"
American Conservatory Theater,San Francisco,CA,4,"415 Geary Street"
American River College,Sacramento,CA,2,"4700 College Oak Dr"
Antelope Valley Community College District,Lancaster,CA,2,"3041 West  Ave K"
Art Center College of Design,Pasadena,CA,3,"1700 Lida St"
Associated Technical College-Los Angeles,Los Angeles,CA,1,"1670 Wilshire Blvd"
Associated Technical College-San Diego,San Diego,CA,1,"2650 Camino Del Rio North, Ste. 100"
Azusa Pacific University,Azusa,CA,3,"901 E Alosta"
Bakersfield College,Bakersfield,CA,2,"1801 Panorama Dr"
Barstow Community College,Barstow,CA,2,"2700 Barstow Road"
Bellus Academy-Chula Vista,Chula Vista,CA,1,"970 Broadway, Suite 110"
Bethesda University,Anaheim,CA,3,"730 N. Euclid St"
Biola University,La Mirada,CA,3,"13800 Biola Ave"
Brownson Technical School,Anaheim,CA,1,"1110 Technology Cir Ste D"
Bryan University,Tempe,AZ,2,"350 W Washington St"
Butte College,Oroville,CA,2,"3536 Butte Campus Drive"
California Institute of Integral Studies,San Francisco,CA,3,"1453 Mission Street"
Cabrillo College,Aptos,CA,2,"6500 Soquel Dr"
California Baptist University,Riverside,CA,3,"8432 Magnolia Ave"
California College of the Arts,San Francisco,CA,3,"1111 Eighth Street"
University of California-Hastings College of Law,San Francisco,CA,4,"200 McAllister Street"
California Institute of Technology,Pasadena,CA,3,"1200 E California Blvd"
California Lutheran University,Thousand Oaks,CA,3,"60 W Olsen Rd"
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,3,"1 Grand Ave."
Alliant International University-San Diego,San Diego,CA,1,"10455 Pomerado Road"
California State University-Bakersfield,Bakersfield,CA,3,"9001 Stockdale Hwy"
California State University-Stanislaus,Turlock,CA,3,"One University Circle"
California State University-San Bernardino,San Bernardino,CA,3,"5500 University Parkway"
California State Polytechnic University-Pomona,Pomona,CA,3,"3801 W Temple Avenue"
California State University-Chico,Chico,CA,3,"First and Normal Sts"
California State University-Dominguez Hills,Carson,CA,3,"1000 E Victoria St"
California State University-Fresno,Fresno,CA,3,"5241 N Maple Ave"
California State University-Fullerton,Fullerton,CA,3,"800 N State College Blvd"
California State University-East Bay,Hayward,CA,3,"25800 Carlos Bee Blvd"
California State University-Long Beach,Long Beach,CA,3,"1250 Bellflower Blvd"
California State University-Los Angeles,Los Angeles,CA,3,"5151 State University Dr"
California State University-Northridge,Northridge,CA,3,"18111 Nordhoff St"
California State University-Sacramento,Sacramento,CA,3,"6000 J St"
University of California-Berkeley,Berkeley,CA,3,"200 California Hall"
University of California-Davis,Davis,CA,3,"One Shields Avenue"
University of California-Irvine,Irvine,CA,3,"501 Aldrich Hall"
University of California-Los Angeles,Los Angeles,CA,3,"405 Hilgard Ave"
University of California-Riverside,Riverside,CA,3,"900 University Ave"
University of California-San Diego,La Jolla,CA,3,"9500 Gilman Dr"
University of California-San Francisco,San Francisco,CA,4,"500 Parnassus Ave"
University of California-Santa Barbara,Santa Barbara,CA,3,"5221 Cheadle Hall"
University of California-Santa Cruz,Santa Cruz,CA,3,"1156 High St"
Sofia University,Palo Alto,CA,3,"1069 East Meadow Cr"
California Beauty School,Modesto,CA,1,"1115 15th St"
California Christian College,Fresno,CA,3,"5364 E. Belmont Avenue"
Haven University,Garden Grove,CA,3,"12761 Euclid St."
California Hair Design Academy,La Mesa,CA,1,"8011 University Avenue, Suite A-2"
California Institute of the Arts,Valencia,CA,3,"24700 W McBean Pky"
California State University Maritime Academy,Vallejo,CA,3,"200 Maritime Academy Dr"
California Western School of Law,San Diego,CA,4,"225 Cedar St"
Canada College,Redwood City,CA,2,"4200 Farm Hill Blvd."
College of the Canyons,Santa Clarita,CA,2,"26455 Rockwell Canyon Rd"
Career Academy of Beauty,Garden Grove,CA,1,"12471 Valley View"
Casa Loma College-Los Angeles,Sherman Oaks,CA,2,"15301 Ventura Blvd. Suite D-100"
CET-San Diego,San Diego,CA,1,"4153 Market Street"
CET-San Jose,San Jose,CA,1,"701 Vine St"
CET-El Centro,El Centro,CA,1,"294 S 3rd St"
CET-Colton,Colton,CA,1,"1099 N. Pepper Ave"
CET-Watsonville,Watsonville,CA,1,"10 Blanca Lane"
CET-Salinas,Salinas,CA,1,"24 East Alvin Drive"
Cerritos College,Norwalk,CA,2,"11110 Alondra Blvd"
Cerro Coso Community College,Ridgecrest,CA,2,"3000 College Heights Blvd"
Chabot College,Hayward,CA,2,"25555 Hesperian Blvd"
Chaffey College,Rancho Cucamonga,CA,2,"5885 Haven Ave"
Chapman University,Orange,CA,3,"One University Dr."
Charles R Drew University of Medicine and Science,Los Angeles,CA,2,"1731 E 120th St"
Concordia University-Irvine,Irvine,CA,3,"1530 Concordia West"
San Diego Christian College,Spring Valley,CA,3,"9400 Campo Road"
Church Divinity School of the Pacific,Berkeley,CA,4,"2451 Ridge Road"
Citrus College,Glendora,CA,2,"1000 W Foothill Blvd"
Citrus Heights Beauty College,Citrus Heights,CA,1,"7518 Baird Way"
City College of San Francisco,San Francisco,CA,1,"50 Frida Kahlo Drive"
Claremont Graduate University,Claremont,CA,4,"150 E Tenth St"
Claremont McKenna College,Claremont,CA,3,"500 E 9th St"
Milan Institute-Visalia,Visalia,CA,1,"6500 S. Mooney Blvd."
Clovis Adult Education,Clovis,CA,1,"1452 David E Cook Way"
Coastline Community College,Fountain Valley,CA,2,"11460 Warner Ave."
University of Silicon Valley,San Jose,CA,3,"191 Baypointe Parkway"
Coba Academy,Anaheim,CA,1,"663 N. Euclid Street"
Western University of Health Sciences,Pomona,CA,4,"309 E 2nd St"
Columbia College,Sonora,CA,2,"11600 Columbia College Dr"
Columbia College Hollywood,Tarzana,CA,3,"18618 Oxnard St"
Compton College,Compton,CA,2,"1111 East Artesia Blvd."
Contra Costa College,San Pablo,CA,2,"2600 Mission Bell Dr"
Cosumnes River College,Sacramento,CA,2,"8401 Center Parkway"
Crafton Hills College,Yucaipa,CA,2,"11711 Sand Canyon Road"
Cuesta College,San Luis Obispo,CA,1,"Highway 1"
Cuyamaca College,El Cajon,CA,2,"900 Rancho San Diego Pky"
Cypress College,Cypress,CA,2,"9200 Valley View"
