athlete_id,name,matched_university
78549,Terrance Herrington,Clemson University
921598,Alexander Proctor,The University of Texas at Austin
99751,Sondra Van Ert,University of Utah
5712,Tom Bender,University of Tulsa
78910,Pat Porter,Adams State University
60796,Milton Whitehurst,University of Mary
69549,Paul Vallé,Hampton University
105779,Paul Terek,Michigan State University
84992,Richard Dalley,Wayne State University
20414,Harry Marcoplos,Johns Hopkins University
51488,Ken Merten,Southern Methodist University
51322,Frank Dooley,University of Connecticut
11073,Pete Deyo,Western Michigan University
85355,"Dick Durrance, Jr.",Dartmouth College
23681,Herb Cohen,New York University
61059,Kris Stookey,Brown University
89586,Bryan Leturgez,Indiana State University
78905,Tom Poor,University of Kansas
23797,Skip Shurtz,Wayne State University
902358,Mike Fiore,University of Miami
77947,Mattiline Render,Tennessee State University
81132,Debra Genovese,Unity College
23689,Joe de Capriles,New York University
78928,Aaron Ramirez,University of Arizona
84763,Gordy Christian,University of North Dakota
31446,Bob Stout,Temple University
45770,Robin Corsiglia,University of Southern California
86590,Ken Henry,Northern Illinois University
86100,Brian Glennie,Michigan State University
66223,Art Ravensdale,Marquette University
62986,Pete Melvin,Boston University
6648,Tom McMillen,University of Mary
78507,Frank Hamilton,University of Louisville
33280,Marisa Pedulla,Washington State University
78686,Al LeConey,Lafayette College
78155,Charley Brookins,University of Iowa
72310,Lennox Miller,University of Southern California
20342,Gwen Cheeseman,Temple University
69080,David Gracie,National University
902397,Curtis Myers,University of Pennsylvania
84147,Rube Bjorkman,University of North Dakota
34081,Dewey Mitchell,The University of Alabama
56949,Don Abrahamson,University of Central Florida
96977,Matt Roy,Lawrence University
85046,Michel de Carvalho,Harvard University
84900,John Cress,University of Wyoming
77897,Francie Larrieu-Smith,Southwestern University
78172,Mike Buncic,University of Kentucky
921551,Richard Lahey,Goucher College
58255,Alf Taylor,Knox College
86470,Greg Harrell,University of Mary
15342,Bobby Livingston,University of Florida
18778,Martyn Grimley,Manchester University
23766,George Nonomura,University of San Francisco
8794,Carl Vinciquerra,Creighton University
920161,Suzanne Silvercruys Farnam,Yale University
79120,Dean Thackwray,Boston University
79075,Ralph Spearow,University of Oregon
20364,Diane Moyer,Temple University
51565,Bob Skelton,Northwestern University
62038,Glen Foster,Brown University
31416,"John Crosby, Jr.",Hofstra University
921565,Hermon Atkins MacNeil,Cornell University
77774,Judi Brown,Western Michigan University
78630,Ron Jourdan,University of Florida
2800021,George Brokaw,New York Law School
902477,Douglas Stone,Johns Hopkins University
59603,Henry Jurado,Massachusetts Institute of Technology
77796,Isabelle Daniels,Tennessee State University
20401,Scotty Gregg,Unity College
50977,Tami Bruce,University of Florida
86367,Martin Hagen,University of Wyoming
51623,Peter Wright,Oberlin College
25248,Jack Laybourne,Emmanuel College
78031,Bill Albans,Occidental College
99531,Chip Knight,Dartmouth College
45300,Mark Tonelli,The University of Alabama
60783,Kent Townley,Iowa State University
18247,Caesar Mannelli,Santa Clara University
2782,Vinnie Richards,Fordham University
78790,Dan Middleman,University of Florida
60726,Ben Northrup,San Francisco State University
40764,Stewart MacDonald,Boston University
77758,Paula Berry,University of Oregon
11134,Angus Morrison,Williams College
77948,Cynthea Rhodes,University of Kansas
21007,Ann Marsh,University of Rochester
86230,"Albert, Prince Grimaldi",Amherst College
72275,Paul Foreman,Eastern Illinois University
98720,Pete Vordenberg,Northern Michigan University
54245,Jim Beckett,Trinity College
84707,John Chase,Boston University
31423,Makoto Sakamoto,Brigham Young University
902408,Scott Servais,Creighton University
78607,James Jett,West Virginia University
6768,Hakeem Olajuwon,University of Houston
91935,Jon Lufkin,Fort Lewis College
921680,Colin Crawford,Trinity College
902735,Clermont Pépin,Curtis Institute of Music
8056,John Coker,Trinity College
78782,Roy Mercer,Swarthmore College
23761,Alfonso Morales,Yale University
902517,Jimmy Arias,University of South Florida
902372,Jim Hibbs,Stanford University
78350,Chris Dunn,Colgate University
72543,Saburo Nagao,National University
794,D'Arcy McCrea,Trinity College
89473,Johnny Lax,Boston University
40742,Lawrence Klecatsky,New York Medical College
67489,Mirja Jämes,National University
60568,Lou Banach,University of Iowa
27754,Jeff Hooker,University of Denver
102396,Ryan Berube,Southern Methodist University
81081,Carol Fox,Wayne State University
51106,Renee Magee,University of Houston
78368,Everett Ellis,Syracuse University
62822,John Lovell,College of Charleston
2785,Fred Sanderson,Knox College
27702,David Brcic,Maryville College
2302339,Alexander Lyle-Samuel,Trinity College
3900,Emanoul Aghasi,Roosevelt University
78275,Bob Crawford,Lafayette College
72558,Shuhei Nishida,National University
98549,Herb VanIngen,Yale University
51058,Peg Hoffman,Mount Holyoke College
5447,Trish Roberts,Stony Brook University
7276,Albert Valtin,National University
40769,Ed Marsh,University of Pennsylvania
78178,Leroy Burrell,University of Houston
40724,Tony Johnson,Syracuse University
12308,Peter Leone,Drew University
101875,Doug Sharp,University of Louisville
44772,Randy Stewart,Henderson State University
34539,Jimmy Wooley,University of Houston
27830,Larry Surock,University of Baltimore
78767,Gordon McKenzie,New York University
11169,Terry White,Middlebury College
40623,Ken Dreyfuss,Stanford University
102355,Tom Poti,Boston University
84231,Dan Bolduc,Harvard University
50953,Theresa Andrews,University of Florida
66158,Ernie McCullough,University of Notre Dame
78176,Dyrol Burleson,University of Oregon
902472,Richard Powell,Rensselaer Polytechnic Institute
71738,Wallace Williams,University of the Virgin Islands
5342,Nancy Lieberman,Old Dominion University
23748,Todd Makler,University of Pennsylvania
85281,Duncan Douglas,Lawrence University
96855,Don Rigazio,Boston University
40902,Mike Teti,Temple University
37308,Stanley Garton,Magdalen College
78642,Dan Kelly,University of Oregon
78278,John Crist,The University of Alabama
81702,Barb Lockhart,Michigan State University
44585,Ann-Marie Pfiffner,West Virginia University
56958,Jim Bradford,Central Michigan University
78084,Lee Bartlett,Albion College
902731,Gérard Bessette,Duquesne University
85584,Doug Everett,Boston University
21015,Sally Pechinsky,New York University
23255,Paul Szabo,York University
78028,Derrick Adkins,Auburn University
20345,Kris Fillat,University of Iowa
50960,Jenny Bartz,University of Miami
40806,Jim Moroney,University of Pennsylvania
78179,Charles Burroughs,University of Pennsylvania
78751,Charles Mays,University of Mary
36233,Terry Paul,Cornell University
901522,John Foy,Yale University
78380,Lee Evans,University of South Alabama
99788,Jim Moran,University of Utah
81319,Trina Hosmer,University of Vermont
87522,Dev Jennings,University of Utah
23765,Stephen Netburn,University of Pennsylvania
47851,Hans-Joachim Klein,University of Southern California
902382,Ike Livermore,Stanford University
902429,Mark Lewis,Wichita State University
81987,Jeanne Omelenchuk,Wayne State University
900791,John Novotny,Illinois State University
88797,Scott Lachance,Boston University
69157,Roy Hollingsworth,University of the West
77909,Donna Mayhew,University of Arizona
5242,Jennifer Gillom,University of Mississippi
78871,John Oxley,Coe College
70214,Klaus Ehl,National University
62242,Hal Haenel,Columbia College
901513,Percy Astle,Syracuse University
89380,Dick Lamby,Boston University
2208,Benita Edds,Indiana State University
40544,Kurt Bausback,San Diego State University
29246,Ruth Grulkowski,University of Chicago
78315,Bill Dellinger,University of Oregon
5363,Katrina McClain,University of Georgia
54973,George Stransky,Stanford University
23763,Steve Mormando,New York University
11968,Torrance Watkins Fleischmann,University of Denver
57506,Aubert Côté,Brigham Young University
78893,George Philbrook,Whitman College
902524,Andrea Leand,Princeton University
78063,Bob Backus,Tufts University
80875,Alice Cook,Boston College
99141,Tom Yurkovich,University of North Dakota
40550,James Beggs,University of Oregon
7008,Bill Russell,University of San Francisco
100458,Sara DeCosta,Providence College
45791,Nancy Garapick,University of Southern California
53266,Liane Sato,San Diego State University
20422,John O'Neill,University of Kansas
71521,John Doherty,Providence College
76930,Wendell Mottley,Yale University
36200,Archie MacKinnon,York University
54624,Gavril Nagy,University of Southern California
6855,Ulrich Peters,Wichita State University
902371,Ron Hibbard,Western Michigan University
11056,Bruce Barton,Michigan State University
53296,Brent Hilliard,University of San Diego
40737,Tom Kiefer,Eastern University
53263,Angela Rock,Pacific University
84811,Howard Clifton,Siena College
51346,Lawrence Frostad,University of Miami
61645,Peter Commette,Tufts University
7643,Oscar de Larrazábal,Eastern University
902399,Don Novick,New York University
6988,Kenny Rollins,University of Kentucky
97443,Steve Sertich,Colorado College
98326,Ken Topalian,University of Rhode Island
77946,Sue Rembao,University of Arizona
921509,George Kratina,Syracuse University
45951,Sandy Goss,University of Florida
64605,Jim Bailey,University of Oregon
74444,Lorraine Dunn,Tennessee State University
102076,Dana Antal,Cornell University
78147,George Bretnall,Baker University
60705,Terry McCann,University of Iowa
98286,Keith Tkachuk,Boston University
78884,Reggie Pearman,New York University
83036,Brenda White,University of Vermont
11046,Glo Perrier,George Washington University
3224,Darren Dreifort,Wichita State University
78404,Kent Floerke,University of Kansas
60679,Bill Koll,University of Northern Iowa
902463,Carroll Leibensperger,Johns Hopkins University
78720,Jimmy Lu Valle,Fisk University
23649,Larry Anastasi,Temple University
923419,Paul Winder,Morgan State University
78872,Bob Packard,University of Georgia
31433,Emil Schwegler,Central College
78956,Dave Roberts,University of Florida
921789,Sears Gallagher,Boston University
72237,Dionne Rose,Carolina University
65360,Phyllis Lightbourn-Jones,United States Coast Guard Academy
60970,Lynne Jewell,Rhode Island School of Design
48145,Zsuzsa Ördög,Seattle University
902460,Bob Koch,Rensselaer Polytechnic Institute
40481,Anne Marden,Princeton University
34352,Shinobu Sekine,National University
3481,Ron Rawson,Trinity College
79110,Kory Tarpenning,University of Oregon
92103,Kent Manderville,Cornell University
84211,Bela Bodnar,University of Wyoming
80959,Darcie Dohnal,University of Wisconsin-Milwaukee
51422,David Johnson,George Washington University
100719,Joel Otto,Bemidji State University
20375,Cheryl Van Kuren,Old Dominion University
77170,Galina Bukharina,Texas State University
33024,"Harry Winkler, Jr.",University of Florida
40456,Jeanne Flanagan,Florida Institute of Technology
18879,Micky Walford,Trinity College
40787,Jeff McLaughlin,Seattle University
60762,Gray Simons,Old Dominion University
921523,Roy Harris,The Juilliard School
6252,Penny Hardaway,University of Memphis
2229,Cyrus Dallin,Massachusetts College of Art and Design
40592,Porter Collins,Brown University
51232,Mary Wayte,University of Florida
99138,Scott Young,Boston University
564,Alison Williamson,American University
78459,Harry Goelitz,University of Chicago
20403,Fred Hewitt,University of Mary
40521,Monica Tranel Michini,Gonzaga University
29232,Amy Chow,Stanford University
20351,Katie Kauffman,University of Mary
77908,Leslie Maxie,University of Southern California
82406,Joan Smith,Nazareth College
97131,Gary Sampson,Boston College
51143,Albina Osipowich,Brown University
63191,Eric Olsen,Massachusetts Institute of Technology
902332,Flavio Alfaro,San Diego State University
40827,Lyman Perry,University of Pennsylvania
78353,Rayfield Dupree,Tennessee State University
21013,Mary O'Neill,University of Pennsylvania
44600,Gary Anderson,Hastings College
23737,Norman Lewis,New York University
51235,Donnalee Wennerstrom,Washington State University
98656,"Alfred Vincelette, Jr.",University of Denver
32978,Craig Fitschen,Adelphi University
50986,Mary Ellen Clark,Wellesley College
78758,Walter McCoy,Florida State University
51600,Dan Veatch,Princeton University
63329,William Plant,Marquette University
51599,Jesse Vassallo,University of Miami
44602,Mike Anti,West Virginia University
920656,Walther Klemm,School of Visual Arts
2212,Jennifer O'Donnell,Michigan State University
40804,Bob Morey,Georgetown University
78775,Mike McRae,Unity College
79,John Pius Boland,National University
78999,Bill Schmidt,Texas State University
902407,Bill Sayles,University of Oregon
78074,Ervin Barker,University of Iowa
6591,Vasil Manchenko,Sofia University
65996,Doug Clement,University of Oregon
78294,Ira Davenport,Loras College
100452,Chris Bailey,Providence College
50985,Jennifer Chandler,The University of Alabama
66280,Alex Wilson,University of Notre Dame
50206,Anthony Nesty,University of Florida
78479,John Gregorek,University of Oregon
40720,Bob Jaugstetter,Eastern University
75584,Kim Collins,Texas Christian University
7097,Steve Sheppard,University of Mary
29258,Jenifer Lovell,Lake Forest College
95312,Felix McGrath,University of Vermont
57036,Curt White,University of Charleston
44663,John Foster,The University of Montana
23716,Graeme Hammond,Columbia College
51405,Jack Horsley,Central Washington University
20988,Sue Badders,Unity College
50983,Tracy Caulkins,University of Florida
5905,Doug Collins,Northwestern University
51310,Josh Davis,Oklahoma Christian University
87609,Greg Johnson,University of North Dakota
89036,Marc Burns,Auburn University
11153,Fred Spaulding,School of the Art Institute of Chicago
107970,Yuriy Shliakhov,National University
6589,Danny Manning,University of Tulsa
573,Charles Coates,Trinity College
902427,Ted Wood,University of New Orleans
97537,Dave Silk,Boston University
23679,Jeffrey Checkes,New York University
83887,"Ray Bateman, Jr.",University of Vermont
72223,Adlin Mair-Clarke,Fordham University
79108,Gregg Tafralis,San Jose State University
77936,Tidye Pickett,Illinois State University
78273,Frank Coyle,University of Chicago
7060,Uwe Sauer,Santa Clara University
131355,Ian Lariba,La Salle University
78709,Aric Long,Auburn University
77859,Juli Henner,James Madison University
79162,Tom Waddell,Springfield College
51364,Tom Gompf,University of Miami
29238,Dominique Dawes,University of Mary
78108,Arnie Betton,Drake University
57009,Oscar Osthoff,Marquette University
88813,Peter Lahdenpera,Middlebury College
40879,Donald Spero,University of Mary
7343,George Wearring,University of Southern California
54891,James Bergeson,Stanford University
11081,William Gates,Eastern University
20999,Nikki Franke,Temple University
902466,Chuck McCann,Rensselaer Polytechnic Institute
51608,Daniel Watters,University of San Francisco
61475,John Bryant,University of Pennsylvania
100551,Joe Nieuwendyk,Cornell University
78363,Hec Edmundson,University of Idaho
35146,John Fitzgerald,Villanova University
8673,Ben Funk,Yale University
61430,Stephen Bourdow,Santa Clara University
65525,Joaquim Cruz,University of Oregon
78284,Josh Culbreath,Temple University
23740,Mike Lofton,New York University
98810,Brian Wanek,University of Chicago
23747,"Paul Makler, Sr.",University of Pennsylvania
77782,Sherry Calvert,University of Southern California
110159,Joe Polo,University of North Dakota
86727,"William Hollrock, III",University of Miami
6473,Christian Laettner,Duke University
51610,Bob Webster,The University of Alabama
64168,Lindsay Williams,University of Chicago
5813,Carl Cain,University of Iowa
27708,Mike Burns,Hartwick College
901514,John Buckland,Yale University
95222,Johnny Matchefts,Colorado College
80865,Marilyn Cochran,Lawrence University
37333,Ewart Horsfall,Magdalen College
51556,Albert Schwartz,University of Chicago
95296,Dennis McCoy,University of Denver
77746,Karen Anderson-Oldham,University of Pennsylvania
78697,Jim Lightbody,University of Chicago
51441,Pat Kennedy,University of Florida
40574,Curt Canning,University of Utah
65939,Alice Whitty,University of Oregon
66229,Ain Roost,Utah State University
1433,Julie Smith,University of La Verne
40785,John McKinlay,Boston University
920784,Ina Boyle,Trinity College
40918,Darrell Vreugdenhil,Western Washington University
66005,Tom Coulter,Carnegie Mellon University
902417,Gary Sutherland,University of Southern California
20339,Diane Bracalente,Old Dominion University
66143,Ronald MacDonald,Xavier University
902282,Albert Taylor,Yale University
40836,Aaron Pollock,San Diego State University
78886,Billy Gene Pemelton,Abilene Christian University
53324,Troy Tanner,Brigham Young University
81999,Mary Ostergren,Carleton College
53258,Mary Jo Peppler,Sul Ross State University
65943,Dana Wright,Old Dominion University
40462,Carie Graves,Eastern University
11088,David Halpern,Brown University
921652,Mahonri Mackintosh Young,Brigham Young University
51301,Casey Converse,Washburn University
2731,Diana Gee,Southern Methodist University
51257,Robin Backhaus,The University of Alabama
77755,Estelle Baskerville,Tennessee State University
60686,Buddy Lee,Old Dominion University
921503,James Fraser,Cornell University
22925,José Martínez,Cornell University
27680,Shannon MacMillan,University of Portland
78535,Joe Healey,New York University
6126,Gib Ford,The University of Texas at Austin
27797,George Nemchik,Temple University
100465,Tara Mounsey,Brown University
44668,Edward Gleason,University of Vermont
78316,Joe DeLoach,University of Houston
79232,Dimitri Zaitz,Boston College
77795,Shirley Crowder,Tennessee State University
77977,Rochelle Stevens,Morgan State University
78892,Pete Phelps,University of Iowa
902412,Joe Slusarski,Unity College
902352,Thomas Downey,University of Southern California
81253,Cornelia Harrington,Boston University
98788,Herschel Walker,University of Georgia
78360,Earl Eby,University of Pennsylvania
5496,Katy Steding,Boston University
80884,Renie Cox,University of Denver
74012,Innocent Egbunike,Pacific University
69462,Roy Sandstrom,National University
40500,Abby Peck,Skidmore College
8707,Ted Kara,University of Idaho
53238,Flo Hyman,University of Houston
51097,Renee Laravie,University of Florida
102427,Rex Beach,Rollins College
11145,Rich Richards,University of Arizona
37518,Leslie Wormald,Magdalen College
87517,David Jenkins,Colorado College
75317,Bevil Rudd,Trinity College
45982,Gary MacDonald,York University
44581,Launi Meili,Eastern Washington University
86561,Steve Heinze,Boston College
37424,Kenneth Payne,Trinity College
113305,Rhéal Cormier,Unity College
78309,Lance Deal,University of Oregon
45771,Marilyn Corson,Michigan State University
78558,Creth Hines,Georgetown University
79053,Chuck Smith,Occidental College
32986,Darrick Heath,Unity College
51290,Matt Cetlinski,University of Florida
51630,Dan Zehr,Northwestern University
44740,George Quigley,Xavier University
102354,Aaron Miller,University of Vermont
51463,Mark Lenzi,Carolina University
37240,John Burn,Magdalen College
79211,Jim Wooding,University of Pennsylvania
98919,Don Whiston,Brown University
78282,Frank Crowley,Manhattan College
23709,Silvio Giolito,New York University
66286,Harold Wright,University of Utah
62978,Edward Melaika,Massachusetts Institute of Technology
78072,Dick Barber,University of Southern California
51280,Carlton Bruner,University of Florida
63053,Mike Mooney,Princeton University
97385,Joe Scott,Lawrence University
77990,Gwen Torrence,University of Georgia
78718,Fred Luke,Northwest University
102409,Wendy Lian Williams,University of Miami
78807,Kenny Moore,University of Oregon
40559,Tom Bohrer,Boston University
45228,Mark Kerry,University of Southern California
77906,LaVonna Martin,University of Kentucky
72060,Emilio Mori,National University
85257,Dennis Donahue,Middlebury College
78486,George Guida,Villanova University
20368,Patty Shea,University of Iowa
81057,Nancy Fiddler,Bates College
77899,Lillie Leatherwood,The University of Alabama
51053,Whitney Hedgepeth,Clemson University
